,,,,,,,
"The Nordic List",,,,,,,
"Companies 2008-07-18",,,,,,,
" ",,,,,,,
,Currency,Exchange,,,"Short Name",ISIN,
,,,,,,,
"Addtech AB ser. B",SEK,STO,MID,Industrials,"ADDT B",SE0000808370,
"Aspo Oyj",EUR,HEL,MID,Industrials,ASU1V,FI0009008072,
"B&B TOOLS AB ser. B",SEK,STO,MID,Industrials,"BBTO B",SE0000101362,
"BE Group AB",SEK,STO,MID,Industrials,BEGR,SE0001852211,
"Beijer AB, G & L ser. B",SEK,STO,MID,Industrials,"BEIJ B",SE0000112906,
"Beijer Alma AB ser. B",SEK,STO,MID,Industrials,"BEIA B",SE0000190134,
"Cardo AB",SEK,STO,MID,Industrials,CARD,SE0000262982,
"Cision AB",SEK,STO,MID,Industrials,CSN,SE0000291486,
"Cramo Oyj",EUR,HEL,MID,Industrials,CRA1V,FI0009900476,
DFDS,DKK,CSE,MID,Industrials,DFDS,DK0010259027,
"DLH B",DKK,CSE,MID,Industrials,"DLH B",DK0060038933,
"Fagerhult, AB",SEK,STO,MID,Industrials,FAG,SE0000379844,
"Finnair Oyj",EUR,HEL,MID,Industrials,FIA1S,FI0009003230,
"Finnlines Oyj",EUR,HEL,MID,Industrials,FLG1S,FI0009003644,
"Glaston  Corporation",EUR,HEL,MID,Industrials,GLA1V,FI0009010219,
"Gunnebo AB",SEK,STO,MID,Industrials,GUNN,SE0000195570,
"Haldex AB",SEK,STO,MID,Industrials,HLDX,SE0000105199,
"HEXPOL AB ser. B",SEK,STO,MID,Industrials,"HPOL B",SE0002452623,
"Hf. Eimskipafélag Íslands",ISK,ISE,MID,Industrials,HFEIM,IS0000011039,
"Icelandair Group hf.",ISK,ISE,MID,Industrials,ICEAIR,IS0000013464,
"Indutrade AB",SEK,STO,MID,Industrials,INDT,SE0001515552,
"Intrum Justitia AB",SEK,STO,MID,Industrials,IJ,SE0000936478,
"ITAB Shop Concept AB ser. B",SEK,STO,MID,Industrials,"ITAB B",SE0001198714,
"Lassila &Tikanoja Oyj",EUR,HEL,MID,Industrials,LAT1V,FI0009010854,
"Lemminkäinen Oyj",EUR,HEL,MID,Industrials,LEM1S,FI0009900336,
"Marel Food Systems hf.",ISK,ISE,MID,Industrials,MARL,IS0000000388,
Mols-Linien,DKK,CSE,MID,Industrials,MOLS,DK0060135465,
"Monberg. & Thorsen B.",DKK,CSE,MID,Industrials,"MT B",DK0010224310,
"Morphic Technologies AB ser. B",SEK,STO,MID,Industrials,"MORP B",SE0000672115,
"Munters AB",SEK,STO,MID,Industrials,MTRS,SE0000416604,
"NIBE Industrier AB ser. B",SEK,STO,MID,Industrials,"NIBE B",SE0000390296,
"Niscayah Group AB ser. B",SEK,STO,MID,Industrials,"NISC B",SE0001785197,
"Peab AB ser. B",SEK,STO,MID,Industrials,"PEAB B",SE0000106205,
"Peab Industri AB ser. B",SEK,STO,MID,Industrials,"PIND B",SE0002091496,
"Per Aarsleff B",DKK,CSE,MID,Industrials,"PAAL B",DK0010243450,
"Ponsse Oyj 1",EUR,HEL,MID,Industrials,PON1V,FI0009005078,
"Ramirent Oyj",EUR,HEL,MID,Industrials,RMR1V,FI0009007066,
"Ruukki Group Oyj",EUR,HEL,MID,Industrials,RUG1V,FI0009800098,
"SAS AB",DKK,CSE,MID,Industrials,"SAS DKK",SE0000805574,
"SAS AB",SEK,STO,MID,Industrials,SAS,SE0000805574,
Satair,DKK,CSE,MID,Industrials,SAT,DK0010230390,
"Schouw & Co.",DKK,CSE,MID,Industrials,SCHO,DK0010253921,
"Solar B",DKK,CSE,MID,Industrials,"SOLAR B",DK0010274844,
